competitie_naam,seizoen,genre,poule_naam,divisie,datum,tijd,sporthal,plaats_sporthal,thuisteam,thuisclub,plaats_thuisclub,uitteam,uitclub,plaats_uitclub,scheids1_hashed,scheids2_hashed,thuisscore,uitscore
Dames Competitie,2018,competitie,Eredivisie,1,2018-11-24,17:30:00,Sportcentrum Olympos,Utrecht,UFC Utrecht 1,UFC Utrecht,Utrecht,Sonics,Sonics,Amersfoort,7adfe943c89dced88eb9264427ee9685,f168b49418df8cdc224f3921a00f886d,11,1
Dames Competitie,2018,competitie,Eredivisie,1,2018-12-15,11:45:00,ACLO,Groningen,Groningen Messed Up,UFC Groningen,Groningen,Sonics,Sonics,Amersfoort,5379eb8fe684268cd4677c9213581b16,f157a0979f8bf1f2923bec29ab0aa10d,3,4
Dames Competitie,2018,competitie,Eredivisie,1,2019-01-12,16:15:00,Roemer Visscher College,Den Haag,Sonics,Sonics,Amersfoort,HSK Agents,HSK Floorball,Den Haag,f4a29fda5ec9060b7deeaa08a67af3b0,f8cd5ba4b8d3c0dade7c079fd87a3c3b,3,3
Dames Competitie,2018,competitie,Eredivisie,1,2019-01-26,10:30:00,Roemer Visscher College,Den Haag,UFC Utrecht 2,UFC Utrecht,Utrecht,Sonics,Sonics,Amersfoort,f4a29fda5ec9060b7deeaa08a67af3b0,f8cd5ba4b8d3c0dade7c079fd87a3c3b,1,12
Dames Competitie,2018,competitie,Eredivisie,1,2019-02-09,10:30:00,Triangel,Lent (Nijmegen),Hot Flames 1,Floorball Flames Nijmegen,Nijmegen,Sonics,Sonics,Amersfoort,de0357e8215d96f7a61d49ee5e3c1005,2f94911872153729c2d60dab06d98ae3,21,1
Dames Competitie,2018,competitie,Eredivisie,1,2019-03-16,12:15:00,Nieuw Welgelegen Topsporthal - 3e verdieping,Utrecht,Sonics,Sonics,Amersfoort,UFC Utrecht 1,UFC Utrecht,Utrecht,03b437bf861cd50b6be9baaffa85f0c8,f4a29fda5ec9060b7deeaa08a67af3b0,4,6
Dames Competitie,2018,competitie,Poule 1 Play offs,1,2019-03-30,15:00:00,Triangel,Lent (Nijmegen),Sonics,Sonics,Amersfoort,Hot Flames 1,Floorball Flames Nijmegen,Nijmegen,4df967cb47517e3e8d46b5b4ecddbe4d,c13f8cf1de874f2373a47ce9e2b871b7,4,18
Dames Competitie,2018,competitie,Poule 1 Play offs,1,2019-04-06,10:30:00,Triangel,Lent (Nijmegen),Hot Flames 1,Floorball Flames Nijmegen,Nijmegen,Sonics,Sonics,Amersfoort,f168b49418df8cdc224f3921a00f886d,c42386b84ff1ede5be28aa82d9b5d7dc,9,4
Dames Competitie,2018,competitie,Poule 1 Play offs,1,2019-04-13,16:45:00,Bokkeduinen,Amersfoort,Hot Flames 1,Floorball Flames Nijmegen,Nijmegen,Sonics,Sonics,Amersfoort,47d4f1b75fb1cb6b3683ae567090ddad,47d4f1b75fb1cb6b3683ae567090ddad,0,0
Dames Nederlandse Loterij Cup,2018,beker,Dames Nederlandse Loterij Cup - Ronde 1 / Kwartfinale,0,2018-11-17,15:45:00,Nieuw Welgelegen Topsporthal - 3e verdieping,Utrecht,Sonics,Sonics,Amersfoort,Groningen Messed Up,UFC Groningen,Groningen,52c46476e8eb3f8ad03df1ebb9bb8727,782356bc86084494e137781fc42fc97a,3,4
Dames Competitie,2019,competitie,Eredivisie,1,2019-09-21,12:15:00,Bokkeduinen,Amersfoort,Sonics,Sonics,Amersfoort,HSK Agents,HSK Floorball,Den Haag,059fa46aafee60677cbde5d650c20872,5f9aede60a3e51017da95288726c7ee5,8,1
Dames Competitie,2019,competitie,Eredivisie,1,2019-09-28,10:30:00,Bokkeduinen,Amersfoort,Sonics,Sonics,Amersfoort,Hot Flames 1,Floorball Flames Nijmegen,Nijmegen,059fa46aafee60677cbde5d650c20872,9aef3d1400d3cd17832f55af5c5af4ce,2,4
Dames Competitie,2019,competitie,Eredivisie,1,2019-10-05,10:30:00,Nieuw Welgelegen Topsporthal - 3e verdieping,Utrecht,UFC Utrecht 2,UFC Utrecht,Utrecht,Sonics,Sonics,Amersfoort,5e2176b3aa970e3a944ac7f7cf7f5178,5f9aede60a3e51017da95288726c7ee5,1,6
Dames Competitie,2019,competitie,Eredivisie,1,2019-11-02,12:15:00,ACLO,Groningen,Groningen Messed Up,UFC Groningen,Groningen,Sonics,Sonics,Amersfoort,5d30a3eca945d8eb914813f87b2a9689,f168b49418df8cdc224f3921a00f886d,10,5
